idx,n,w,sw,ln
6262,74,84122826.44594595,5691.248511925371,15.82843167107484
1577,74,214212916.5810811,6070.843615814341,15.562220487151563
2135,74,144805084.8783784,6169.697550426507,15.820222493545888
1464,74,281558524.3378378,7421.264086155027,15.954540136718652
92,74,115766826.0,5567.297704934953,15.609468489843806
9736,74,725585235.054054,13503.39248264416,16.905234729848452
884,74,101552447.21621622,5016.415437321191,15.5370138702361
37,74,268607719.6216216,8911.511755933008,16.51242196064096
9218,74,573383036.3513514,9886.737587631793,16.013823925193375
67,74,345015919.2297297,9371.216563068128,16.445249063488312
7008,74,515510305.0405405,10672.536009343672,16.241278277379052
2115,74,281404691.5945946,8797.002763082623,16.43331404066101
59,74,123702574.97297297,5391.18136252514,15.540166862839184
6328,72,199034213.70833334,7204.9214350566135,15.934736622667664
6955,72,137624174.5,6255.231296069807,15.922011586268269
7484,72,90625816.25,5440.106253199193,15.721842916139517
2805,72,180126736.7638889,6634.767743441891,15.744020915531182
790,72,129462178.3611111,6596.191794175801,16.061186428673615
6329,72,156072488.2222222,6137.7979903462665,15.730197323952414
5612,72,180974335.41666666,6589.798887447585,15.916892177266813
45,72,501109001.5555556,10846.545998166768,16.451514732747828
8474,72,111506229.56944445,5516.956859542822,15.729530566174443
7679,72,117634348.05555555,6632.152419444258,16.149129922785697
8372,72,110683253.41666667,5732.674148039003,15.951225307094525
2863,72,257328934.1111111,8683.236464324515,16.302899382317467
8406,72,234576069.7222222,7473.296174435802,16.162423099202286
9098,72,284197457.2222222,8735.9225435627,16.55905279869292
25,72,126389829.30555555,6171.704458604767,15.911514929257326
5724,72,284209218.4166667,7022.406188968568,15.805787526660563
5702,72,425615001.9027778,6927.585947550682,15.473097115321455
728,72,181395650.2638889,7343.438130390514,16.366312675197893
9131,72,217589954.6111111,6796.025089302382,16.13907685477559
7844,72,51220097.125,4317.567262224689,15.558551407176891
10109,72,167506643.70833334,5512.903686065882,15.624342264319775
9167,72,458656699.9166667,7826.343042420993,15.791666039098054
9178,72,145486481.8472222,6245.21284606041,15.88586253859254
7465,72,249588172.3888889,7992.536812740233,15.95464880456911
